train_size,train_acc, test_acc
0.0001,0.68,0.478715872
0.0002,0.72,0.650010002
0.0003,0.693333333,0.654216265
0.0004,0.67,0.654305722
0.0005,0.688,0.658125063
0.0006,0.68,0.671298779
0.0007,0.657142857,0.679031322
0.0008,0.675,0.68233787
0.0009,0.684444444,0.681060955
0.001,0.68,0.677701702
0.0011,0.690909091,0.679567524
0.0012,0.69,0.683928714
0.0013,0.686153846,0.685735456
0.0014,0.7,0.691852594
0.0015,0.696,0.692610916
0.0016,0.695,0.694322917
0.0017,0.691764706,0.693474907
0.0018,0.695555556,0.695720297
0.0019,0.692631579,0.696327021
0.002,0.688,0.697675351
0.0021,0.681904762,0.699905802
0.0022,0.68,0.702878332
0.0023,0.685217391,0.704279844
0.0024,0.68,0.706992783
0.0025,0.688,0.709425564
0.0026,0.692307692,0.710174454
0.0027,0.688888889,0.711685551
0.0028,0.691428571,0.712747694
0.0029,0.699310345,0.712069
0.003,0.701333333,0.714194584
0.0031,0.707096774,0.71381282
0.0032,0.70625,0.715774478
0.0033,0.706666667,0.715180094
0.0034,0.707058824,0.715745535
0.0035,0.712,0.716311089
0.0036,0.715555556,0.717318346
0.0037,0.715675676,0.716499046
0.0038,0.711578947,0.717237503
0.0039,0.714871795,0.715968276
0.004,0.709,0.717550201
0.0041,0.712195122,0.717927503
0.0042,0.712380952,0.718232577
0.0043,0.710697674,0.71920458
0.0044,0.706363636,0.717774207
0.0045,0.705777778,0.717693621
0.0046,0.703478261,0.717661242
0.0047,0.703829787,0.716813021
0.0048,0.7075,0.716808682
0.0049,0.706938776,0.716607376
0.005,0.708,0.715863317
0.0051,0.709019608,0.715883003
0.0052,0.708461538,0.715954966
0.0053,0.710188679,0.716175731
0.0054,0.712592593,0.715704806
0.0055,0.712727273,0.715463047
0.0056,0.711428571,0.716749799
0.0057,0.713684211,0.717212109
0.0058,0.713103448,0.718008449
0.0059,0.717288136,0.71785937
0.006,0.716,0.719158954
0.0061,0.716065574,0.720390381
0.0062,0.715483871,0.720708392
0.0063,0.714285714,0.720853376
0.0064,0.71625,0.720483092
0.0065,0.716923077,0.720881731
0.0066,0.717575758,0.720801289
0.0067,0.714626866,0.720902044
0.0068,0.715882353,0.721727749
0.0069,0.717101449,0.721284866
0.007,0.717714286,0.720410876
0.0071,0.717183099,0.720652634
0.0072,0.716666667,0.722493956
0.0073,0.719452055,0.721490883
0.0074,0.720540541,0.721281483
0.0075,0.720533333,0.720519899
0.0076,0.721578947,0.72012898
0.0077,0.718441558,0.720842487
0.0078,0.718974359,0.721036081
0.0079,0.719493671,0.720931358
0.008,0.72,0.720435484
0.0081,0.719506173,0.720608932
0.0082,0.71693509,0.720533493
0.0083,0.717108434,0.721036604
0.0084,0.715238095,0.721867689
0.0085,0.717176471,0.721524962
0.0086,0.717209302,0.72073028
0.0087,0.71862069,0.721190356
0.0088,0.717272727,0.720891848
0.0089,0.721348315,0.721541721
0.009,0.721333333,0.72126337
0.0091,0.718681319,0.721485518
0.0092,0.719565217,0.721453371
0.0093,0.71827957,0.721538306
0.0094,0.719148936,0.721445589
0.0095,0.719578947,0.721772842
0.0096,0.719166667,0.721595315
0.0097,0.719587629,0.721688377
0.0098,0.720408163,0.722528782
0.0099,0.719482619,0.72225948
0.001,0.68,0.677701702
0.002,0.688,0.697675351
0.003,0.701333333,0.714194584
0.004,0.709,0.717550201
0.005,0.708,0.715863317
0.006,0.716,0.719158954
0.007,0.717714286,0.720410876
0.008,0.72,0.720435484
0.009,0.721333333,0.72126337
0.01,0.7212,0.721321212
0.02,0.7298,0.731967347
0.03,0.7356,0.734556701
0.04,0.732,0.735575
0.05,0.73656,0.738614737
0.06,0.7378,0.739706383
0.07,0.737314286,0.741243011
0.08,0.7388,0.741873913
0.09,0.738177778,0.743116484
0.1,0.74052,0.743951111
0.2,0.74574,0.74641
0.3,0.74744,0.7486
0.4,0.74701,0.75012
0.5,0.748456,0.75036
0.6,0.74948,0.75027
0.7,0.749765714,0.750546667
0.8,0.750225,0.75094
